Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
IC1,"PCA9685PW,118",SOP65P640X110-28N,155.13,-82.12,90.0,top
J1,I2C0 Breakout,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,159.02,-99.05,180.0,top
J2,I2C1 Breakout,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,151.24,-75.485,0.0,top
J3,I2C0 Breakout,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,151.13,-99.055,180.0,top
J4,Conn_01x11,PinHeader_1x11_P2.54mm_Vertical,143.71,-87.69,0.0,top
J5,I2C1 Breakout,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,159.15,-75.495,0.0,top
J6,Conn_01x11,PinHeader_1x11_P2.54mm_Vertical,166.36,-87.81,0.0,top
J7,I2C1 Breakout,PinHeader_1x04_P2.54mm_Vertical,155.045,-69.85,90.0,top
R1,10k,R_Array_Convex_4x0603,148.8,-90.64,180.0,top
R2,10k,R_Array_Convex_4x0603,148.79,-94.46,180.0,top
R3,10K,R_0603_1608Metric,148.79,-87.98,0.0,top
R4,10k,R_Array_Convex_4x0603,161.35,-94.5,0.0,top
U1,TCA9548APWR,SOP65P640X120-24N,155.085,-92.12,0.0,top
