Comment,Designator,Footprint,LCSC
1K,"R3,R4,R9",R_0402_1005Metric,C11702
74AHC4050,U7,SOIC127P600X175-16N,C131932
0.1uF,"C18,C20,C21",0603-NO,C14663
0.1uF,"C10,C11,C4,C5,C7,C9",C_0402_1005Metric,C1525
22pF,"C1,C2",C_0402_1005Metric,C1555
32.768,X2,XTAL3215,C156244
1uF,"C3,C6,C8",C_0603_1608Metric,C15849
10uF,"C15,C17",0805-NO,C15850
SM04B-SRSS-TB(LF)(SN),J10,JST_SM04B-SRSS-TB(LF)(SN),C160404
10K,R14,RESPACK_4X0603,C164037
22pF,"C22,C23",C_0603_1608Metric,C1653
LP5907-2.8V,U6,SOT23-5,C186700
NSR0320,D1,SOD-323F,C191023
10uF,C16,C_0603_1608Metric,C19702
RP2040_QFN56,IC1,QFN56_7MM_REDUCEDEPAD,C2040
1N4148,D3,SOD-323,C2128
microUSB,X1,MOLEX_105164-0001,C234179
22,"R5,R6",R_0402_1005Metric,C25092
12MHZ,Y1,CRYSTAL_2.5X2,C252259
10K,"R1,R10,R11,R12,R7",R_0402_1005Metric,C25744
10K,"R13,R15,R16,R19,R2,R8",0603-NO,C25804
VL6180XV0NR/1,U5,VL6180,C2688732
BSS138,Q1,SOT363,C2912548
104031-0811,J44,1040310811,C585350
22uF,C19,C_0603_1608Metric,C59461
RED,D2,CHIPLED_0603_NOOUTLINE,C72041
AZ1117CH-3.3TRG1,IC2,SOT230P700X180-4N,C92102
10uF,C12,C_0603_1608Metric,C96446
W25Q128JV,U2,SOIC-8_5.275x5.275mm_P1.27mm,C97521
104031-0811,J4,MountingHoles,
FC to EPS Connector,J1,Molex_Pico-Lock_504050-1291_1x12-1MP_P1.50mm_Horizontal,
Battery Charge Bypass,J6,PinHeader_1x02_P2.54mm_Vertical,
Conn_ARM_JTAG_SWD_10,J2,2X05_1.27MM_BOX_POSTS,
UHF_Dipole_Antenna,AE1,UHF_Dipole_Antenna_Mount,
DNI,L1,R_0603_1608Metric,
RFM98PW,U3,RFM95PW,
Battery Charge Bypass,J7,MOLEX_504050-0291,
DNI,C13,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
RFM9xBreakout,U4,HOPERF_RFM9XW_SMD,
DNI,U20,SON127P600X500X90-9N,
usb jumper,J5,PinHeader_1x02_P2.54mm_Vertical,
MAX706RESA,U1,SO-8_3.9x4.9mm_P1.27mm,
FC to EPS Connector,J3,MountingHoles,
DNI,C14,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
FC to EPS Connector,J8,MOLEX_504050-0291,
KMR2,SW2,BTN_KMR2_4.6X2.8,
TESTPOINTROUND1.5MMNO,TP1,TESTPOINT_ROUND_1.5MM_NO,
WS2812B_SK6805_1515,LED1,SK6805_1515,
KMR2,SW1,BTN_KMR2_4.6X2.8,
BNO080,U8,BNO080,
