Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
AE1,UHF_Dipole_Antenna,UHF_Dipole_Antenna_Mount,166.37,-133.9446,0.0,top
C1,22pF,C_0402_1005Metric,151.473781,-82.949778,45.0,top
C2,22pF,C_0402_1005Metric,151.006809,-85.859377,-45.0,top
C3,1uF,C_0603_1608Metric,143.391551,-74.436492,135.0,top
C4,0.1uF,C_0402_1005Metric,155.448,-81.407,135.0,top
C5,0.1uF,C_0402_1005Metric,148.779707,-71.778338,-135.0,top
C6,1uF,C_0603_1608Metric,150.288386,-72.065705,45.0,top
C7,0.1uF,C_0402_1005Metric,153.573324,-75.24655,45.0,top
C8,1uF,C_0603_1608Metric,144.46918,-73.358862,135.0,top
C9,0.1uF,C_0402_1005Metric,142.9766,-79.4258,-135.0,top
C10,0.1uF,C_0402_1005Metric,145.4912,-82.8548,-135.0,top
C11,0.1uF,C_0402_1005Metric,154.686,-82.169,-45.0,top
C12,10uF,C_0603_1608Metric,186.2208,-104.8194,-90.0,top
C13,DNI,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,168.1226,-124.587,0.0,top
C14,DNI,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,168.1734,-129.2098,0.0,top
C15,10uF,0805-NO,129.2458,-103.2194,180.0,top
C16,10uF,C_0603_1608Metric,133.2458,-68.3194,0.0,top
C17,10uF,0805-NO,136.8458,-117.9194,90.0,top
C18,0.1uF,0603-NO,122.8458,-139.7194,0.0,top
C19,22uF,C_0603_1608Metric,128.6458,-80.1194,180.0,top
C20,0.1uF,C_0603_1608Metric,156.5458,-111.2194,180.0,top
C21,0.1uF,C_0603_1608Metric,159.6458,-107.7444,-90.0,top
C22,22pF,C_0603_1608Metric,153.2458,-111.2194,0.0,top
C23,22pF,C_0603_1608Metric,152.2458,-105.1194,0.0,top
D1,NSR0320,SOD-323F,139.101996,-83.427963,0.0,top
D2,RED,CHIPLED_0603_NOOUTLINE,148.6408,-87.6808,-135.0,top
D3,1N4148,SOD-323,119.0458,-128.2194,-90.0,top
IC1,RP2040_QFN56,QFN56_7MM_REDUCEDEPAD,148.815628,-78.567413,45.0,top
IC2,AZ1117CH-3.3TRG1,SOT230P700X180-4N,130.6458,-74.9194,-90.0,top
J1,FC to EPS Connector,Molex_Pico-Lock_504050-1291_1x12-1MP_P1.50mm_Horizontal,206.2408,-85.0644,-90.0,top
J2,Conn_ARM_JTAG_SWD_10,2X05_1.27MM_BOX_POSTS,165.8208,-151.1944,90.0,top
J2,Conn_ARM_JTAG_SWD_10,2X05_1.27MM_BOX_POSTS,158.31625,-78.378623,-90.0,bottom
J3,FC to EPS Connector,MountingHoles,123.2662,-97.917,90.0,top
J3,FC to EPS Connector,MountingHoles,126.8208,-112.2444,90.0,bottom
J4,104031-0811,MountingHoles,204.7958,-112.1944,90.0,bottom
J5,usb jumper,PinHeader_1x02_P2.54mm_Vertical,165.8208,-73.2444,90.0,top
J5,usb jumper,PinHeader_1x02_P2.54mm_Vertical,139.3208,-69.3194,-90.0,top
J6,Battery Charge Bypass,PinHeader_1x02_P2.54mm_Vertical,190.6458,-80.9194,-90.0,top
J7,Battery Charge Bypass,MOLEX_504050-0291,189.4458,-74.9194,180.0,top
J8,FC to EPS Connector,MOLEX_504050-0291,142.1559,-116.396,0.0,top
J10,SM04B-SRSS-TB(LF)(SN),JST_SM04B-SRSS-TB(LF)(SN),194.7458,-107.2444,180.0,top
J44,104031-0811,1040310811,121.27998,-88.4194,-90.0,top
L1,DNI,R_0603_1608Metric,167.259,-126.873,-90.0,top
LED1,WS2812B_SK6805_1515,SK6805_1515,152.4508,-64.6684,180.0,bottom
Q1,BSS138,SOT363,133.8458,-122.3194,0.0,top
R1,10K,R_0402_1005Metric,157.4546,-82.1436,180.0,top
R2,10k,R_0603_1608Metric,157.6578,-83.0834,0.0,bottom
R3,1K,R_0402_1005Metric,153.988254,-82.949774,135.0,top
R4,1K,R_0402_1005Metric,136.307996,-83.427963,0.0,top
R5,22,R_0402_1005Metric,145.816222,-72.191428,-90.0,top
R6,22,R_0402_1005Metric,146.82201,-72.191428,-90.0,top
R7,10k,R_0402_1005Metric,135.037996,-82.411963,0.0,top
R8,10k,R_0603_1608Metric,171.704,-82.296,0.0,top
R9,1K,R_0402_1005Metric,146.8882,-85.9536,-45.0,top
R10,10k,R_0402_1005Metric,132.6458,-80.1194,180.0,top
R11,10K,R_0402_1005Metric,144.1458,-88.6194,90.0,top
R12,10K,R_0402_1005Metric,143.1458,-88.6194,90.0,top
R13,10K,0603-NO,122.8458,-129.5194,0.0,top
R14,10K,RESPACK_4X0603,127.4458,-128.2194,180.0,top
R15,10K,0603-NO,122.8458,-131.1194,0.0,top
R16,10k,R_0603_1608Metric,138.7458,-102.7194,90.0,top
R19,10k,R_0603_1608Metric,143.2208,-99.2944,180.0,top
SW1,KMR2,BTN_KMR2_4.6X2.8,145.796,-80.645,0.0,bottom
